"arc_length"	"p"
27.375	57604.2
27.45	57668.4
27.525	57732.7
27.6	57796.9
27.675	57861.2
27.75	57925.4
27.825	57989.7
27.9	58053.9
27.975	58118.2
28.05	58182.4
28.125	58246
28.2	58300.8
28.275	58355.5
28.35	58410.3
28.425	58465
28.5	58519.7
28.575	58574.5
28.65	58629.2
28.725	58684
28.8	58738.7
28.875	58793.5
28.95	58848.2
29.025	58902.9
29.1	58957.7
29.175	59012.4
29.25	59067.2
29.325	59121.9
29.4	59176.7
29.475	59231.4
29.55	59286.1
29.625	59337.7
29.7	59383
29.775	59428.3
29.85	59473.6
29.925	59518.9
30	59564.2
30.075	59609.5
30.15	59654.8
30.225	59700.1
30.3	59745.4
30.375	59790.7
30.45	59836
30.525	59881.3
30.6	59926.5
30.675	59971.8
30.75	60017.1
30.825	60062.4
30.9	60107.7
30.975	60153
31.05	60198.3
31.125	60237.9
31.2	60273.8
31.275	60309.7
31.35	60345.6
31.425	60381.5
31.5	60417.4
31.575	60453.3
31.65	60489.2
31.725	60525
31.8	60560.9
31.875	60596.8
31.95	60632.7
32.025	60668.6
32.1	60704.5
32.175	60740.4
32.25	60776.2
32.325	60812.1
32.4	60848
32.475	60883.9
32.55	60919.8
32.625	60947.6
32.7	60974.1
32.775	61000.6
32.85	61027.1
32.925	61053.6
33	61080.1
33.075	61106.6
33.15	61133.2
33.225	61159.7
33.3	61186.2
33.375	61212.7
33.45	61239.2
33.525	61265.7
33.6	61292.2
33.675	61318.8
33.75	61345.3
33.825	61371.8
33.9	61398.3
33.975	61424.8
34.05	61450.1
34.125	61467.2
34.2	61484.4
34.275	61501.5
34.35	61518.7
34.425	61535.8
34.5	61553
34.575	61570.2
34.65	61587.3
34.725	61604.5
34.8	61621.6
34.875	61638.8
34.95	61655.9
35.025	61673.1
35.1	61690.2
35.175	61707.4
35.25	61724.5
35.325	61741.7
35.4	61758.8
35.475	61776
35.55	61789.3
35.625	61797
35.7	61804.6
35.775	61812.3
35.85	61819.9
35.925	61827.6
36	61835.2
36.075	61842.9
36.15	61850.6
36.225	61858.2
36.3	61865.9
36.375	61873.5
36.45	61881.2
36.525	61888.8
36.6	61896.5
36.675	61904.1
36.75	61911.8
36.825	61919.4
36.9	61927.1
36.975	61934.8
37.05	61937.3
37.125	61937.4
37.2	61937.4
37.275	61937.4
37.35	61937.5
37.425	61937.5
37.5	61937.6
37.575	61937.6
37.65	61937.6
37.725	61937.7
37.8	61937.7
37.875	61937.8
37.95	61937.8
38.025	61935.3
38.1	61927.7
38.175	61920.1
38.25	61912.6
38.325	61905
38.4	61897.4
38.475	61889.8
38.55	61882.3
38.625	61874.7
38.7	61867.1
38.775	61859.5
38.85	61852
38.925	61844.4
39	61836.8
39.075	61829.2
39.15	61821.7
39.225	61814.1
39.3	61806.5
39.375	61798.9
39.45	61791.4
39.525	61778.1
39.6	61761
39.675	61743.9
39.75	61726.9
39.825	61709.8
39.9	61692.7
39.975	61675.6
40.05	61658.6
40.125	61641.5
40.2	61624.4
40.275	61607.3
40.35	61590.3
40.425	61573.2
40.5	61556.1
40.575	61539
40.65	61522
40.725	61504.9
40.8	61487.8
40.875	61470.7
40.95	61453.7
41.025	61428.5
41.1	61402
41.175	61375.6
41.25	61349.2
41.325	61322.7
41.4	61296.3
41.475	61269.8
41.55	61243.4
41.625	61217
41.7	61190.5
41.775	61164.1
41.85	61137.6
41.925	61111.2
42	61084.8
42.075	61058.3
42.15	61031.9
42.225	61005.4
42.3	60979
42.375	60952.6
42.45	60924.9
42.525	60889.1
42.6	60853.2
42.675	60817.4
42.75	60781.6
42.825	60745.8
42.9	60710
42.975	60674.2
43.05	60638.4
43.125	60602.5
43.2	60566.7
43.275	60530.9
43.35	60495.1
43.425	60459.3
43.5	60423.5
43.575	60387.7
43.65	60351.9
43.725	60316
43.8	60280.2
43.875	60244.4
43.95	60204.8
44.025	60159.6
44.1	60114.4
44.175	60069.2
44.25	60023.9
44.325	59978.7
44.4	59933.5
44.475	59888.3
44.55	59843
44.625	59797.8
44.7	59752.6
44.775	59707.4
44.85	59662.2
44.925	59616.9
45	59571.7
45.075	59526.5
45.15	59481.3
45.225	59436
45.3	59390.8
45.375	59345.6
45.45	59294.1
45.525	59239.4
45.6	59184.7
45.675	59130
45.75	59075.4
45.825	59020.7
45.9	58966
45.975	58911.3
46.05	58856.6
46.125	58802
46.2	58747.3
46.275	58692.6
46.35	58637.9
46.425	58583.2
46.5	58528.6
46.575	58473.9
46.65	58419.2
46.725	58364.5
46.8	58309.9
46.875	58255.2
46.95	58191.6
47.025	58127.4
47.1	58063.2
47.175	57999.1
47.25	57934.9
47.325	57870.7
47.4	57806.5
47.475	57742.3
47.55	57678.1
47.625	57613.9
47.7	57549.7
47.775	57485.6
47.85	57421.4
47.925	57357.2
48	57293
48.075	57228.8
48.15	57164.6
48.225	57100.4
48.3	57036.2
48.375	56970.1
48.45	56896.4
48.525	56822.6
48.6	56748.9
48.675	56675.1
48.75	56601.3
48.825	56527.6
48.9	56453.8
48.975	56380.1
49.05	56306.3
49.125	56232.5
49.2	56158.8
49.275	56085
49.35	56011.3
49.425	55937.5
49.5	55863.7
49.575	55790
49.65	55716.2
49.725	55642.5
49.8	55568.7
49.875	55490.4
49.95	55407
50.025	55323.6
50.1	55240.2
50.175	55156.8
50.25	55073.4
50.325	54990
50.4	54906.6
50.475	54823.2
50.55	54739.8
50.625	54656.4
50.7	54573
50.775	54489.6
50.85	54406.2
50.925	54322.8
51	54239.4
51.075	54156
51.15	54072.6
51.225	53989.2
51.3	53905.8
51.375	53815.2
51.45	53722.1
51.525	53629
51.6	53535.9
51.675	53442.7
51.75	53349.6
51.825	53256.5
51.9	53163.4
51.975	53070.2
52.05	52977.1
52.125	52884
52.2	52790.9
52.275	52697.7
52.35	52604.6
52.425	52511.5
52.5	52418.4
52.575	52325.2
52.65	52232.1
52.725	52139
52.8	52045.9
52.875	51942.9
52.95	51840
53.025	51737.1
53.1	51634.1
53.175	51531.2
53.25	51428.3
53.325	51325.3
53.4	51222.4
53.475	51119.5
53.55	51016.5
53.625	50913.6
53.7	50810.7
53.775	50707.7
53.85	50604.8
53.925	50501.9
54	50398.9
54.075	50296
54.15	50193.1
54.225	50090.1
54.3	49984.6
54.375	49871.7
54.45	49758.9
54.525	49646.1
54.6	49533.2
54.675	49420.4
54.75	49307.6
54.825	49194.7
54.9	49081.9
54.975	48969.1
55.05	48856.2
55.125	48743.4
55.2	48630.6
55.275	48517.7
55.35	48404.9
55.425	48292.1
55.5	48179.2
55.575	48066.4
55.65	47953.6
55.725	47840.8
55.8	47722.6
55.875	47599.8
55.95	47476.9
56.025	47354.1
56.1	47231.3
56.175	47108.4
56.25	46985.6
56.325	46862.8
56.4	46739.9
56.475	46617.1
56.55	46494.3
56.625	46371.4
56.7	46248.6
56.775	46125.8
56.85	46002.9
56.925	45880.1
57	45757.3
57.075	45634.4
57.15	45511.6
57.225	45388.8
57.3	45257.9
57.375	45124.9
57.45	44992
57.525	44859
57.6	44726.1
57.675	44593.2
57.75	44460.2
57.825	44327.3
57.9	44194.3
57.975	44061.4
58.05	43928.5
58.125	43795.5
58.2	43662.6
58.275	43529.7
58.35	43396.7
58.425	43263.8
58.5	43130.8
58.575	42997.9
58.65	42865
58.725	42731.4
58.8	42588.2
58.875	42445
58.95	42301.9
59.025	42158.7
59.1	42015.6
59.175	41872.4
59.25	41729.3
59.325	41586.1
59.4	41442.9
59.475	41299.8
59.55	41156.6
59.625	41013.5
59.7	40870.3
59.775	40727.2
59.85	40584
59.925	40440.9
60	40297.7
60.075	40154.5
60.15	40011.4
60.225	39864.8
60.3	39711.3
60.375	39557.8
60.45	39404.3
60.525	39250.8
60.6	39097.3
60.675	38943.9
60.75	38790.4
60.825	38636.9
60.9	38483.4
60.975	38329.9
61.05	38176.4
61.125	38022.9
61.2	37869.4
61.275	37715.9
61.35	37562.4
61.425	37408.9
61.5	37255.5
61.575	37102
61.65	36948.5
61.725	36788.7
61.8	36624.8
61.875	36460.8
61.95	36296.9
62.025	36132.9
62.1	35969
62.175	35805
62.25	35641.1
62.325	35477.1
62.4	35313.2
62.475	35149.2
62.55	34985.3
62.625	34821.3
